~id,~from,~to,~label
gc_454_gc_457,gc_454,gc_457,edge
gc_454_gc_868,gc_454,gc_868,edge
gc_454_gc_633,gc_454,gc_633,edge
gc_454_gc_635,gc_454,gc_635,edge
gc_454_gc_598,gc_454,gc_598,edge
gc_1268_gc_454,gc_1268,gc_454,edge
gc_1268_gc_540,gc_1268,gc_540,edge
gc_1268_gc_831,gc_1268,gc_831,edge
gc_1158_gc_454,gc_1158,gc_454,edge
gc_1158_gc_913,gc_1158,gc_913,edge
gc_1071_gc_454,gc_1071,gc_454,edge
gc_1071_gc_1337,gc_1071,gc_1337,edge
gc_1071_gc_1070,gc_1071,gc_1070,edge
gc_484_gc_540,gc_484,gc_540,edge
gc_484_gc_607,gc_484,gc_607,edge
gc_607_gc_1361,gc_607,gc_1361,edge
gc_414_gc_389,gc_414,gc_389,edge
gc_1079_gc_1082,gc_1079,gc_1082,edge
gc_1079_gc_732,gc_1079,gc_732,edge
gc_870_gc_913,gc_870,gc_913,edge
gc_870_gc_866,gc_870,gc_866,edge
gc_913_gc_1017,gc_913,gc_1017,edge
gc_913_gc_462,gc_913,gc_462,edge
gc_866_gc_868,gc_866,gc_868,edge
gc_1061_gc_870,gc_1061,gc_870,edge
gc_1061_gc_1204,gc_1061,gc_1204,edge
gc_1061_gc_1062,gc_1061,gc_1062,edge
gc_1061_gc_951,gc_1061,gc_951,edge
gc_1061_gc_810,gc_1061,gc_810,edge
gc_1061_gc_952,gc_1061,gc_952,edge
gc_1269_gc_484,gc_1269,gc_484,edge
gc_1269_gc_1268,gc_1269,gc_1268,edge
gc_1269_gc_1267,gc_1269,gc_1267,edge
gc_418_gc_484,gc_418,gc_484,edge
gc_418_gc_1210,gc_418,gc_1210,edge
gc_877_gc_878,gc_877,gc_878,edge
gc_864_gc_1173,gc_864,gc_1173,edge
gc_864_gc_1337,gc_864,gc_1337,edge
gc_864_gc_1070,gc_864,gc_1070,edge
gc_1064_gc_864,gc_1064,gc_864,edge
gc_1064_gc_1338,gc_1064,gc_1338,edge
gc_1064_gc_913,gc_1064,gc_913,edge
gc_239_gc_864,gc_239,gc_864,edge
