~id,~label,d3:string,d2:string,d1:string,d0:string
AUTO_1527,vertex,is_k2_u_k3_co_p_antihole_free returns True,"(K_{2} U K_{3},co(P),anti-hole)-free",LightGreen,+
gc_606,vertex,,totally unimodular,DarkGray,?
gc_1321,vertex,,co-unipolar,DarkGray,?
gc_276,vertex,,"(5,2)-odd-crossing-chordal",DarkGray,?
gc_746,vertex,,"(X_{12},X_{5},X_{95},X_{96},X_{97},co(X_{12}),co(X_{5}),co(X_{95}),co(X_{96}),co(X_{97}),co(claw U triangle),claw U triangle,co-cricket,co-twin-house,cricket,odd anti-hole,odd-hole,twin-house)-free",DarkGray,?
gc_192,vertex,,"(5,2)-odd-noncrossing-chordal",DarkGray,?
gc_701,vertex,Unknown to ISGCI,"(W_{4},gem)-free ∩ short-chorded",DarkGray,?
gc_74,vertex,Unknown to ISGCI,Gallai-perfect,DarkGray,?
gc_603,vertex,,diamond-free ∩ perfect,DarkGray,?
gc_1272,vertex,NP-complete,monopolar,DarkGray,?
gc_76,vertex,Unknown to ISGCI,unimodular,DarkGray,?
gc_705,vertex,Unknown to ISGCI,clique-perfect ∩ triangle-free,DarkGray,?
gc_1361,vertex,is_bipartite_or_co_bipartite_or_split returns False,bipartite U co-bipartite U split,IndianRed,-
gc_626,vertex,,perfect ∩ split-neighbourhood,DarkGray,?
gc_999,vertex,,odd-signable ∩ triangle-free,DarkGray,?
gc_1191,vertex,is_02_graph returns False,"(0,2)-graph",IndianRed,-
gc_454,vertex,NP-complete,"(0,3)-colorable",DarkGray,?
gc_457,vertex,NP-complete,weak bisplit,DarkGray,?
gc_868,vertex,NP-complete,PURE-3-DIR,DarkGray,?
gc_633,vertex,is_gc_633 returns False,"(cross,triangle)-free",IndianRed,-
gc_635,vertex,is_gc_635 returns False,"(H,triangle)-free",IndianRed,-
gc_598,vertex,,K_{4}-free ∩ perfect,DarkGray,?
gc_1268,vertex,Unknown to ISGCI,"probe (1,2)-colorable",DarkGray,?
gc_1158,vertex,Open,alternation,DarkGray,?
gc_1071,vertex,NP-complete,4-colorable,DarkGray,?
gc_540,vertex,,"(1,2)-colorable",DarkGray,?
gc_484,vertex,,"(2,2)-colorable",DarkGray,?
gc_607,vertex,,2-split ∩ perfect,DarkGray,?
gc_414,vertex,NP-hard,disk,DarkGray,?
gc_1257,vertex,,Helly circular arc ∩ perfect,DarkGray,?
gc_1007,vertex,NP-complete,max-tolerance,DarkGray,?
gc_978,vertex,Unknown to ISGCI,2-thin,DarkGray,?
gc_1079,vertex,NP-complete,2-track,DarkGray,?
gc_929,vertex,is_gc_929 returns False,"(3K_{2},triangle)-free",IndianRed,-
gc_870,vertex,Unknown to ISGCI,1-string,DarkGray,?
gc_913,vertex,,overlap,DarkGray,?
gc_866,vertex,Unknown to ISGCI,PURE-k-DIR,DarkGray,?
gc_1061,vertex,NP-complete,B_{k}-VPG,DarkGray,?
gc_1267,vertex,is_probe_co_bipartite returns False,probe co-bipartite,IndianRed,-
gc_1269,vertex,NP-complete,"probe (2,2)-colorable",DarkGray,?
gc_418,vertex,Unknown to ISGCI,"(p,q<=2)-colorable",DarkGray,?
gc_878,vertex,Open,"(2,2)-interval",DarkGray,?
gc_877,vertex,NP-complete,unit 2-interval,DarkGray,?
gc_864,vertex,NP-complete,2-DIR,DarkGray,?
gc_1173,vertex,Unknown to ISGCI,unit grid intersection,DarkGray,?
gc_1337,vertex,NP-complete,B_{0}-CPG,DarkGray,?
